category,value,sort_order
assetTypes,其他設備,1
assetTypes,音響設備,2
assetTypes,電腦設備,3
assetTypes,網路設備,4
assetTypes,影視設備,5
assetTypes,燈光設備,6
assetTypes,錄音設備,7
assetVendors,數位奇蹟,1
assetVendors,(自購)PCHOME,2
assetVendors,(自購)蝦皮,3
assetVendors,家將,4
assetVendors,音匠,5
assetVendors,阿通柏,6
assetVendors,喜朵有限公司,7
assetVendors,獨奏創藝⼯作室,8
assetVendors,喜朵,9
assetVendors,(自購)THINK2,10
assetVendors,喜事多,11
assetVendors,逆轉科技,12
assetVendors,露天拍賣,13
assetVendors,奎尊,14
assetVendors,聲騰,15
assetVendors,鉅程宏業有限公司,16
assetVendors,新視代影音科技有限公司,17
assetVendors,富銘科技,18
assetVendors,日天光彩,19
assetVendors,誠屏科技,20
assetVendors,豪器飛帆科技有限公司,21
assetVendors,銳升,22
assetVendors,九聲,23
assetVendors,喜樂彭派,24
assetStatuses,使用中,1
assetStatuses,維修中,2
assetStatuses,已報廢,3
assetStatuses,已請購,4
assetStatuses,已停用,5
