asset_id,asset_type,asset_name,brand,model,serial_no,purchase_price,purchase_date,hall,main_location,sub_location,vendor,status,note
O0001,其他設備,紫外燈箱,Beauty life,208B,,1100,,北大第二會堂,3F 導播室,,,使用中,
O0002,其他設備,防潮箱,防潮家,D-1336A(1360公升),,80000,2016-03-01,北大第二會堂,3F 導播室,,數位奇蹟,使用中,攝影機用
O0003,其他設備,防潮箱,,,,,,北大第二會堂,3F 導播室,,,使用中,麥克風用
O0004,其他設備,網路電話系統,TECOM,,,,,北大第二會堂,3F 導播室,機房,,使用中,
O0005,其他設備,網路電話系統,TECOM,,,,,北大第二會堂,3F 導播室,機房,,使用中,
O0006,其他設備,防潮箱,收藏家,AW-80P,,3980,2021-07-01,北大第二會堂,3F 翻譯室,,(自購)PCHOME,使用中,
O0007,其他設備,印表機,Epson,L310,VHYK003675,5000,2016-01-01,北大第二會堂,4F 辦公室,,(自購)PCHOME,使用中,行政彩色印表機
O0008,其他設備,印表機,Epson,M1120,,4490,2021-01-28,北大第二會堂,4F 辦公室,,(自購)PCHOME,使用中,財務印表機
O0009,其他設備,印表機,Epson,M1120,,4490,2021-01-28,北大第二會堂,4F 辦公室,,(自購)PCHOME,使用中,吧檯用印表機
O0010,其他設備,網路電話系統,TECOM,,,,,北大第二會堂,5F 夾層,,,使用中,
O0011,其他設備,紫外燈箱,Beauty life,208B,,1100,,台北幸福會堂,B1 主會堂,控台區,,使用中,
O0012,其他設備,防潮箱,,,,,,台北幸福會堂,B1 主會堂,控台區,,使用中,
O0013,其他設備,防潮箱,,,,,,台北幸福會堂,B1 副會堂,控台區,,使用中,
O0014,其他設備,紫外燈箱,Beauty life,208B,,1100,,桃園會堂,1F 主會堂,技術區,(自購)蝦皮,使用中,
O0015,其他設備,防潮箱,收藏家,AW-80P,,3980,2021-07-01,桃園會堂,1F 主會堂,技術區,(自購)PCHOME,使用中,
O0016,其他設備,防潮箱,防潮家,,,2940,2026-03-13,桃園會堂,1F 主會堂,相機櫃,(自購)PCHOME,使用中,
O0017,其他設備,網路電話系統,TECOM,,,,,桃園會堂,1F 主會堂,控台區,家將,使用中,
M0001,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,主喇叭
M0002,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,主喇叭
M0003,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,後區喇叭
M0004,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,後區喇叭
M0005,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,左區喇叭
M0006,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,右區喇叭
M0007,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,左區補償喇叭
M0008,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,前區補償喇叭
M0009,音響設備,喇叭-被動式,CODA,,,,,桃園會堂,1F 主會堂,天花板,音匠,使用中,前區補償喇叭
M0010,音響設備,喇叭-主動式監聽,Adam,A7X,,20000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0011,音響設備,喇叭-主動式監聽,Adam,A7X,,20000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0012,音響設備,監聽系統-主機,Behringer,PowerPlay16,,13500,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0013,音響設備,監聽系統-樂團子機,Behringer,PowerPlay16,,13500,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0014,音響設備,擴大機,CODA,Linus 10 C,,210000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0015,音響設備,麥克風-耳掛式音頭,Countryman,H6 Headset,,21000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0016,音響設備,音控台,Midas,M32,,155000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0017,音響設備,天線增益放大器,Mipro,AD-708,,8000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0018,音響設備,天線增益放大器,Mipro,AD-708,,8000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0019,音響設備,監聽系統-歌手無線接收器,Mipro,MI-909R,,10000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0020,音響設備,監聽系統-歌手無線接收器,Mipro,MI-909R,,10000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0021,音響設備,監聽系統-歌手無線接收器,Mipro,MI-909R,,10000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0022,音響設備,監聽系統-歌手無線接收器,Mipro,MI-909R,,10000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0023,音響設備,監聽系統-歌手無線發送器,Mipro,MI-909T,,11600,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0024,音響設備,監聽系統-歌手無線發送器,Mipro,MI-909T,,11600,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0025,音響設備,擴大機,Powersoft,M50Q HDSP+ETH,,95000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
M0026,音響設備,擴大機,Powersoft,M50Q HDSP+ETH,,95000,,桃園會堂,1F 主會堂,技術區,音匠,使用中,
